measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,1,,,,,
0,0,0,0,0,0,0,
33,0,0,0,98,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,57,0,0,0,98,98,
0,0,0,0,0,0,98,
0,56,0,0,98,0,98,
0,0,0,0,0,0,98,
38,55,0,0,98,0,98,
0,0,0,0,0,0,0,
0,56,0,0,0,0,98,
0,0,0,0,0,0,0,
40,57,0,0,0,98,0,
0,0,0,0,0,0,0,
38,59,0,0,98,0,98,
0,57,0,0,0,0,98,
0,0,0,0,98,0,98,
0,0,0,0,0,0,0,
36,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,60,52,52,0,98,98,
0,0,0,0,0,0,0,
33,59,50,50,98,0,0,
0,0,0,0,0,0,98,
0,57,48,48,98,0,98,
28,0,0,0,0,0,0,
28,59,50,50,0,0,98,
0,0,0,0,98,0,98,
31,60,52,52,0,98,98,
32,0,0,0,0,0,98,
32,62,53,53,98,0,98,
33,64,52,52,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
36,67,0,0,0,98,98,
0,0,0,0,0,0,0,
0,66,0,0,98,0,98,
0,0,0,0,0,0,98,
38,64,0,0,98,0,98,
0,0,0,0,0,0,0,
0,66,0,0,0,0,98,
0,0,0,0,0,0,0,
36,67,0,0,0,98,98,
0,0,0,0,0,0,0,
33,68,0,0,98,0,0,
0,0,0,0,0,0,0,
0,69,57,57,98,0,98,
0,0,0,0,0,0,98,
28,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,71,55,55,0,98,98,
0,0,0,0,0,0,98,
31,0,0,0,98,0,98,
0,0,0,0,0,0,98,
0,72,57,57,98,0,98,
28,0,0,0,0,0,0,
28,0,0,0,0,0,0,
32,0,0,0,98,0,0,
32,71,55,55,0,98,98,
0,0,0,0,0,0,98,
0,69,0,0,98,0,98,